tree_id	node_id	union_node_id	median_value
94	4	230	-0.023084061086138752
95	1	117	-0.034623791503766
95	2	162	-0.07237825092868265
95	3	231	0.0010711330507246
95	4	232	-0.0366110591024881
96	1	3	-0.0362569254256297
96	2	17	0.00481506189026935
96	3	90	-0.0913827245931916
97	1	123	-0.0014059749991676498
97	2	124	-0.0362718346343786
97	3	233	-0.09294981563418289
97	4	234	-0.1528268998283112
97	5	235	-0.0772229851058262
97	6	236	-0.0272718375018167
98	1	3	-0.0774130250050843
98	2	73	-0.06490477207878001
98	3	237	-0.040620707068559
98	4	238	-0.07353996447779215
98	5	239	-0.0204693017373131
98	6	240	0.014132822235974
99	1	59	0.0929885662884204
99	2	60	-0.12049092045766525
99	3	241	-0.08219212148342969
99	4	242	-0.11873574169012395
99	5	243	-0.06592700136013425
99	6	244	-0.0499091446340117
99	7	245	-0.1161528079460569
99	8	246	-0.0098892699340479
100	1	38	0.014178372070347101
100	2	247	-0.043320518755268794
101	1	0	0.08967987405470079
101	2	1	0.0175784969347915
101	3	248	-0.05777105392980325
101	4	249	-0.07994976389450964
101	5	250	-0.0130594387162512
102	1	59	0.09775067044336225
102	2	251	-0.06670218970504355
102	3	252	-0.0118319086945914
102	4	253	-0.01421934478092565
103	1	20	-0.0341740574737111
104	1	117	0.048620465633401444
104	2	254	-0.03043068952699185
104	3	255	-0.03608414640609095
104	4	256	-0.0372939515086809
105	1	38	-0.027807087133828248
106	1	38	-0.06279569257257316
106	2	257	0.0460213081645488
107	1	20	-0.06195132514147185
107	2	102	-0.020011069874890798
107	3	258	0.04444774687162535
108	1	20	-0.09960316755456006
108	2	102	-0.051699154423501203
108	3	258	-0.06126401723755985
109	1	38	-0.059447293949480395
109	2	247	-0.04968061095376855
110	1	259	-0.01415157116382555
110	2	260	-0.02023279491839885
110	3	261	-0.024820919007569303
110	4	262	0.037406678429601145
111	1	59	-0.0237270068022871
111	2	60	-0.025770269907360248
111	3	263	-0.0343183967349305
111	4	264	-0.017624659764490798
112	1	25	-0.0404431397779952
112	2	265	-0.0413570391465496
112	3	266	-0.02003386905890895
112	4	267	-0.09578673613213055
113	1	3	-0.0082275186910207
113	2	268	-0.0519931009487416
113	3	269	-0.1877834600149583
113	4	270	-0.0758684991011937
113	5	271	0.0417803222318944
114	1	20	-0.03226643809771915
114	2	23	-0.08146349016465965
114	3	24	0.0230337192150744
114	4	272	-0.0605805238579114
115	1	59	-0.0693638513753279
115	2	273	-0.03972791126076475
116	1	38	-0.01137235286587985
116	2	257	-0.03212802188548815
116	3	274	-0.018574547125040503
117	1	59	-0.016697747515714248
117	2	275	-0.027895528247505998
117	3	276	0.04663469452724355
