"","sim","method","observed","value","n","N"
"1",0,"freq","observed",-0.416457980801338,5,200
"2",0,"freq","recoverable",0.263905031062764,5,200
"3",0,"fitree","observed",0.957122727806584,5,200
"4",0,"fitree","recoverable",0.842361418393242,5,200
"5",0,"Diffusion_subclone","observed",-0.350701457516916,5,200
"6",0,"Diffusion_subclone","recoverable",0.300603481190101,5,200
"7",0,"Diffusion_mutation","observed",0.861822515027658,5,200
"8",0,"Diffusion_mutation","recoverable",0.715181361505723,5,200
"9",0,"scifil","observed",0.957122727806584,5,200
"10",0,"scifil","recoverable",0.584950926937304,5,200
"11",0,"fitclone","observed",-0.547971027370182,5,200
"12",0,"fitclone","recoverable",0.176476370465284,5,200
"13",1,"freq","observed",0.283730760852763,5,200
"14",1,"freq","recoverable",0.727918266230216,5,200
"15",1,"fitree","observed",0.939858145324779,5,200
"16",1,"fitree","recoverable",0.781615762415061,5,200
"17",1,"Diffusion_subclone","observed",0.328063692236008,5,200
"18",1,"Diffusion_subclone","recoverable",0.737534095374605,5,200
"19",1,"Diffusion_mutation","observed",0.552033299928746,5,200
"20",1,"Diffusion_mutation","recoverable",0.0579322883324245,5,200
"21",1,"scifil","observed",0.656127384472015,5,200
"22",1,"scifil","recoverable",0.0297935569089543,5,200
"23",1,"fitclone","observed",0.611794453088771,5,200
"24",1,"fitclone","recoverable",0.816383894358591,5,200
"25",2,"freq","observed",0.100022967093562,5,200
"26",2,"freq","recoverable",0.50162686415205,5,200
"27",2,"fitree","observed",0.944726756195914,5,200
"28",2,"fitree","recoverable",0.827451207270001,5,200
"29",2,"Diffusion_subclone","observed",0.100022967093562,5,200
"30",2,"Diffusion_subclone","recoverable",0.50162686415205,5,200
"31",2,"Diffusion_mutation","observed",0.48582584016873,5,200
"32",2,"Diffusion_mutation","recoverable",0.753273422416816,5,200
"33",2,"scifil","observed",0.878773210893438,5,200
"34",2,"scifil","recoverable",0.795592154013266,5,200
"35",2,"fitclone","observed",-0.0607282300210912,5,200
"36",2,"fitclone","recoverable",0.414340556963401,5,200
"37",3,"freq","observed",0.1936667741811,5,200
"38",3,"freq","recoverable",0.674547003694671,5,200
"39",3,"fitree","observed",0.887345947157038,5,200
"40",3,"fitree","recoverable",0.875722333448597,5,200
"41",3,"Diffusion_subclone","observed",-0.0352121407601999,5,200
"42",3,"Diffusion_subclone","recoverable",0.584320971353345,5,200
"43",3,"Diffusion_mutation","observed",0.890867161233058,5,200
"44",3,"Diffusion_mutation","recoverable",0.877379432873174,5,200
"45",3,"scifil","observed",0.866218662700918,5,200
"46",3,"scifil","recoverable",0.617961956326539,5,200
"47",3,"fitclone","observed",0.16901827564896,5,200
"48",3,"fitclone","recoverable",0.632286061073853,5,200
"49",4,"freq","observed",0.0184349415192734,5,200
"50",4,"freq","recoverable",0.379491394629806,5,200
"51",4,"fitree","observed",0.95775703412365,5,200
"52",4,"fitree","recoverable",0.920092534287657,5,200
"53",4,"Diffusion_subclone","observed",-0.115218384495459,5,200
"54",4,"Diffusion_subclone","recoverable",0.338406856179856,5,200
"55",4,"Diffusion_mutation","observed",0.861833516026033,5,200
"56",4,"Diffusion_mutation","recoverable",0.571958894811991,5,200
"57",4,"scifil","observed",0.944790752862763,5,200
"58",4,"scifil","recoverable",0.736725035152327,5,200
"59",4,"fitclone","observed",0.0921747075963672,5,200
"60",4,"fitclone","recoverable",0.391384287339002,5,200
"61",5,"freq","observed",0.258603273534094,5,200
"62",5,"freq","recoverable",0.31667660235364,5,200
"63",5,"fitree","observed",0.937436866561092,5,200
"64",5,"fitree","recoverable",0.643894486111914,5,200
"65",5,"Diffusion_subclone","observed",0.258603273534094,5,200
"66",5,"Diffusion_subclone","recoverable",0.31667660235364,5,200
"67",5,"Diffusion_mutation","observed",0.46394255799913,5,200
"68",5,"Diffusion_mutation","recoverable",0.445870704714576,5,200
"69",5,"scifil","observed",0.452555728684665,5,200
"70",5,"scifil","recoverable",0.37055736405512,5,200
"71",5,"fitclone","observed",0.517206547068189,5,200
"72",5,"fitclone","recoverable",0.430452627151355,5,200
"73",6,"freq","observed",0.143019388386839,5,200
"74",6,"freq","recoverable",0.471769470786775,5,200
"75",6,"fitree","observed",0.448127416945428,5,200
"76",6,"fitree","recoverable",0.659924238075857,5,200
"77",6,"Diffusion_subclone","observed",0.0430036634310747,5,200
"78",6,"Diffusion_subclone","recoverable",0.436985118659889,5,200
"79",6,"Diffusion_mutation","observed",0.528016896811051,5,200
"80",6,"Diffusion_mutation","recoverable",0.515936293978915,5,200
"81",6,"scifil","observed",0.286038776773678,5,200
"82",6,"scifil","recoverable",0.392581086531512,5,200
"83",6,"fitclone","observed",0.400454287483149,5,200
"84",6,"fitclone","recoverable",0.571009003476549,5,200
"85",7,"freq","observed",0.273685895270777,5,200
"86",7,"freq","recoverable",0.644607312029915,5,200
"87",7,"fitree","observed",0.83509285992878,5,200
"88",7,"fitree","recoverable",0.796182777651435,5,200
"89",7,"Diffusion_subclone","observed",0.2776805694336,5,200
"90",7,"Diffusion_subclone","recoverable",0.656262817758334,5,200
"91",7,"Diffusion_mutation","observed",0.727112676056338,5,200
"92",7,"Diffusion_mutation","recoverable",0.55968366115968,5,200
"93",7,"scifil","observed",0.80702251169588,5,200
"94",7,"scifil","recoverable",0.642827879278193,5,200
"95",7,"fitclone","observed",-0.522810235837765,5,200
"96",7,"fitclone","recoverable",0.253595512290839,5,200
"97",8,"freq","observed",0.658874794161148,5,200
"98",8,"freq","recoverable",0.480922653477744,5,200
"99",8,"fitree","observed",0.943964849327029,5,200
"100",8,"fitree","recoverable",0.60858452861427,5,200
"101",8,"Diffusion_subclone","observed",0.658874794161148,5,200
"102",8,"Diffusion_subclone","recoverable",0.480922653477744,5,200
"103",8,"Diffusion_mutation","observed",0.753904812549775,5,200
