"","sim","method","metric","observed","value","n","N"
"94",11,"Diffusion","mae","recoverable",0.596711081483964,5,200
"95",11,"Diffusion","sign","observed",0.545454545454545,5,200
"96",11,"Diffusion","sign","recoverable",0.375,5,200
"97",12,"FiTree","mae","observed",0.0186002985487596,5,200
"98",12,"FiTree","mae","recoverable",0.131492775320463,5,200
"99",12,"FiTree","sign","observed",1,5,200
"100",12,"FiTree","sign","recoverable",0.666666666666667,5,200
"101",12,"Diffusion","mae","observed",0.440100633977568,5,200
"102",12,"Diffusion","mae","recoverable",1.23865835204564,5,200
"103",12,"Diffusion","sign","observed",0.625,5,200
"104",12,"Diffusion","sign","recoverable",0.533333333333333,5,200
"105",13,"FiTree","mae","observed",0.0380402845680346,5,200
"106",13,"FiTree","mae","recoverable",0.20577775609428,5,200
"107",13,"FiTree","sign","observed",0.7,5,200
"108",13,"FiTree","sign","recoverable",0.466666666666667,5,200
"109",13,"Diffusion","mae","observed",0.481071347719361,5,200
"110",13,"Diffusion","mae","recoverable",0.711552148397008,5,200
"111",13,"Diffusion","sign","observed",0.7,5,200
"112",13,"Diffusion","sign","recoverable",0.666666666666667,5,200
"113",14,"FiTree","mae","observed",0.123557994529111,5,200
"114",14,"FiTree","mae","recoverable",0.149313348719215,5,200
"115",14,"FiTree","sign","observed",0.733333333333333,5,200
"116",14,"FiTree","sign","recoverable",0.611111111111111,5,200
"117",14,"Diffusion","mae","observed",0.392661007694567,5,200
"118",14,"Diffusion","mae","recoverable",0.419953666057585,5,200
"119",14,"Diffusion","sign","observed",0.8,5,200
"120",14,"Diffusion","sign","recoverable",0.666666666666667,5,200
"121",15,"FiTree","mae","observed",0.0385900918506436,5,200
"122",15,"FiTree","mae","recoverable",0.0521033583232869,5,200
"123",15,"FiTree","sign","observed",0.444444444444444,5,200
"124",15,"FiTree","sign","recoverable",0.333333333333333,5,200
"125",15,"Diffusion","mae","observed",0.494762645046106,5,200
"126",15,"Diffusion","mae","recoverable",0.945805026288065,5,200
"127",15,"Diffusion","sign","observed",0.444444444444444,5,200
"128",15,"Diffusion","sign","recoverable",0.333333333333333,5,200
"129",16,"FiTree","mae","observed",0.0374654808163926,5,200
"130",16,"FiTree","mae","recoverable",0.0389591147119593,5,200
"131",16,"FiTree","sign","observed",0.555555555555556,5,200
"132",16,"FiTree","sign","recoverable",0.333333333333333,5,200
"133",16,"Diffusion","mae","observed",0.485813098859707,5,200
"134",16,"Diffusion","mae","recoverable",0.580444521460104,5,200
"135",16,"Diffusion","sign","observed",0.555555555555556,5,200
"136",16,"Diffusion","sign","recoverable",0.466666666666667,5,200
