"","sim","method","metric","observed","value","n","N"
"1",0,"FiTree","mae","observed",1.04085771198621,10,200
"2",0,"FiTree","mae","recoverable",0.610541396050831,10,200
"3",0,"FiTree","sign","observed",0.848484848484849,10,200
"4",0,"FiTree","sign","recoverable",0.602941176470588,10,200
"5",0,"Diffusion","mae","observed",0.484871338660944,10,200
"6",0,"Diffusion","mae","recoverable",0.597180429851706,10,200
"7",0,"Diffusion","sign","observed",0.787878787878788,10,200
"8",0,"Diffusion","sign","recoverable",0.602941176470588,10,200
"9",1,"FiTree","mae","observed",0.600633141131998,10,200
"10",1,"FiTree","mae","recoverable",0.529475038960311,10,200
"11",1,"FiTree","sign","observed",0.862745098039216,10,200
"12",1,"FiTree","sign","recoverable",0.689189189189189,10,200
"13",1,"Diffusion","mae","observed",0.55063919887996,10,200
"14",1,"Diffusion","mae","recoverable",0.705309867217057,10,200
"15",1,"Diffusion","sign","observed",0.88235294117647,10,200
"16",1,"Diffusion","sign","recoverable",0.72972972972973,10,200
"17",2,"FiTree","mae","observed",0.892662566665642,10,200
"18",2,"FiTree","mae","recoverable",0.526270372145491,10,200
"19",2,"FiTree","sign","observed",0.96551724137931,10,200
"20",2,"FiTree","sign","recoverable",0.676923076923077,10,200
"21",2,"Diffusion","mae","observed",0.405927239792658,10,200
"22",2,"Diffusion","mae","recoverable",0.50755967191377,10,200
"23",2,"Diffusion","sign","observed",0.827586206896552,10,200
"24",2,"Diffusion","sign","recoverable",0.569230769230769,10,200
"25",3,"FiTree","mae","observed",1.19732732041886,10,200
"26",3,"FiTree","mae","recoverable",0.778144169379158,10,200
"27",3,"FiTree","sign","observed",0.902439024390244,10,200
"28",3,"FiTree","sign","recoverable",0.643835616438356,10,200
"29",3,"Diffusion","mae","observed",0.348544484089449,10,200
"30",3,"Diffusion","mae","recoverable",0.484882271942268,10,200
"31",3,"Diffusion","sign","observed",0.902439024390244,10,200
"32",3,"Diffusion","sign","recoverable",0.698630136986301,10,200
"33",4,"FiTree","mae","observed",0.0917090340012277,10,200
"34",4,"FiTree","mae","recoverable",0.183860966999944,10,200
"35",4,"FiTree","sign","observed",0.666666666666667,10,200
"36",4,"FiTree","sign","recoverable",0.5,10,200
"37",4,"Diffusion","mae","observed",0.494428509209228,10,200
"38",4,"Diffusion","mae","recoverable",0.950375711707965,10,200
"39",4,"Diffusion","sign","observed",0.666666666666667,10,200
"40",4,"Diffusion","sign","recoverable",0.517857142857143,10,200
"41",5,"FiTree","mae","observed",0.13594621095305,10,200
"42",5,"FiTree","mae","recoverable",0.170948905001933,10,200
