"","sim","method","metric","observed","value","n","N"
"1",0,"FiTree","mae","observed",0.498355208378336,10,200
"2",0,"FiTree","mae","recoverable",0.338554129611221,10,200
"3",0,"FiTree","sign","observed",0.848484848484849,10,200
"4",0,"FiTree","sign","recoverable",0.5,10,200
"5",0,"Diffusion","mae","observed",0.484871338660944,10,200
"6",0,"Diffusion","mae","recoverable",0.597180429851706,10,200
"7",0,"Diffusion","sign","observed",0.787878787878788,10,200
"8",0,"Diffusion","sign","recoverable",0.602941176470588,10,200
"9",1,"FiTree","mae","observed",0.60460499297863,10,200
"10",1,"FiTree","mae","recoverable",0.533764304976214,10,200
"11",1,"FiTree","sign","observed",0.862745098039216,10,200
"12",1,"FiTree","sign","recoverable",0.689189189189189,10,200
"13",1,"Diffusion","mae","observed",0.55063919887996,10,200
"14",1,"Diffusion","mae","recoverable",0.705309867217057,10,200
"15",1,"Diffusion","sign","observed",0.88235294117647,10,200
"16",1,"Diffusion","sign","recoverable",0.72972972972973,10,200
"17",2,"FiTree","mae","observed",0.301142720059533,10,200
"18",2,"FiTree","mae","recoverable",0.254970542881142,10,200
"19",2,"FiTree","sign","observed",0.96551724137931,10,200
"20",2,"FiTree","sign","recoverable",0.692307692307692,10,200
"21",2,"Diffusion","mae","observed",0.405927239792658,10,200
"22",2,"Diffusion","mae","recoverable",0.50755967191377,10,200
"23",2,"Diffusion","sign","observed",0.827586206896552,10,200
"24",2,"Diffusion","sign","recoverable",0.569230769230769,10,200
"25",3,"FiTree","mae","observed",0.773874512637933,10,200
"26",3,"FiTree","mae","recoverable",0.5342178985405,10,200
"27",3,"FiTree","sign","observed",0.902439024390244,10,200
"28",3,"FiTree","sign","recoverable",0.643835616438356,10,200
"29",3,"Diffusion","mae","observed",0.348544484089449,10,200
"30",3,"Diffusion","mae","recoverable",0.484882271942268,10,200
"31",3,"Diffusion","sign","observed",0.902439024390244,10,200
"32",3,"Diffusion","sign","recoverable",0.698630136986301,10,200
"33",4,"FiTree","mae","observed",0.0524891600122727,10,200
"34",4,"FiTree","mae","recoverable",0.159140922544418,10,200
"35",4,"FiTree","sign","observed",0.666666666666667,10,200
"36",4,"FiTree","sign","recoverable",0.517857142857143,10,200
"37",4,"Diffusion","mae","observed",0.494428509209228,10,200
"38",4,"Diffusion","mae","recoverable",0.950375711707965,10,200
"39",4,"Diffusion","sign","observed",0.666666666666667,10,200
"40",4,"Diffusion","sign","recoverable",0.517857142857143,10,200
"41",5,"FiTree","mae","observed",0.135042535980512,10,200
"42",5,"FiTree","mae","recoverable",0.168612956688955,10,200
"43",5,"FiTree","sign","observed",0.92,10,200
"44",5,"FiTree","sign","recoverable",0.709090909090909,10,200
"45",5,"Diffusion","mae","observed",0.65445998800949,10,200
"46",5,"Diffusion","mae","recoverable",1.42760282670221,10,200
"47",5,"Diffusion","sign","observed",0.72,10,200
"48",5,"Diffusion","sign","recoverable",0.490909090909091,10,200
"49",6,"FiTree","mae","observed",0.706184613205153,10,200
"50",6,"FiTree","mae","recoverable",0.464516759135787,10,200
"51",6,"FiTree","sign","observed",0.71875,10,200
"52",6,"FiTree","sign","recoverable",0.46875,10,200
"53",6,"Diffusion","mae","observed",0.388759020792272,10,200
"54",6,"Diffusion","mae","recoverable",1.3151304582104,10,200
"55",6,"Diffusion","sign","observed",0.625,10,200
"56",6,"Diffusion","sign","recoverable",0.453125,10,200
"57",7,"FiTree","mae","observed",1.08346290576809,10,200
"58",7,"FiTree","mae","recoverable",0.668455429056581,10,200
"59",7,"FiTree","sign","observed",0.974358974358974,10,200
"60",7,"FiTree","sign","recoverable",0.794520547945205,10,200
"61",7,"Diffusion","mae","observed",0.738801255042734,10,200
"62",7,"Diffusion","mae","recoverable",1.1753022985093,10,200
"63",7,"Diffusion","sign","observed",0.871794871794872,10,200
"64",7,"Diffusion","sign","recoverable",0.643835616438356,10,200
"65",8,"FiTree","mae","observed",0.553182305338024,10,200
