"","sim","method","observed","value","n","N"
"1",0,"freq","observed",-0.0568894466833773,10,200
"2",0,"freq","recoverable",0.542156126980304,10,200
"3",0,"fitree","observed",0.952220395264836,10,200
"4",0,"fitree","recoverable",0.717990589969204,10,200
"5",0,"Diffusion_subclone","observed",-0.0424856752659586,10,200
"6",0,"Diffusion_subclone","recoverable",0.543942524022876,10,200
"7",0,"Diffusion_mutation","observed",0.860672365962544,10,200
"8",0,"Diffusion_mutation","recoverable",0.687873654099091,10,200
"9",0,"scifil","observed",0.931943391378285,10,200
"10",0,"scifil","recoverable",0.724175387359897,10,200
"11",0,"fitclone","observed",0.392031341801627,10,200
"12",0,"fitclone","recoverable",0.60372349974162,10,200
"13",1,"freq","observed",0.0980582756296868,10,200
"14",1,"freq","recoverable",0.544646080887919,10,200
"15",1,"fitree","observed",0.937590147007423,10,200
"16",1,"fitree","recoverable",0.838587440741175,10,200
"17",1,"Diffusion_subclone","observed",0.113417264505836,10,200
"18",1,"Diffusion_subclone","recoverable",0.550204891016548,10,200
"19",1,"Diffusion_mutation","observed",0.712907078896422,10,200
"20",1,"Diffusion_mutation","recoverable",0.65551374127331,10,200
"21",1,"scifil","observed",0.891433376727771,10,200
"22",1,"scifil","recoverable",0.734511039912934,10,200
"23",1,"fitclone","observed",0.5344879355123,10,200
"24",1,"fitclone","recoverable",0.72376582795611,10,200
"25",2,"freq","observed",0.240379379634426,10,200
"26",2,"freq","recoverable",0.658519821956017,10,200
"27",2,"fitree","observed",0.714731301103416,10,200
"28",2,"fitree","recoverable",0.560092484534808,10,200
"29",2,"Diffusion_subclone","observed",0.200299558884765,10,200
"30",2,"Diffusion_subclone","recoverable",0.651837342496579,10,200
"31",2,"Diffusion_mutation","observed",0.643766413259324,10,200
"32",2,"Diffusion_mutation","recoverable",0.668998868683116,10,200
"33",2,"scifil","observed",0.766936475908806,10,200
"34",2,"scifil","recoverable",0.515161240151805,10,200
"35",2,"fitclone","observed",0.212157701695883,10,200
"36",2,"fitclone","recoverable",0.609736904221745,10,200
"37",3,"freq","observed",-0.0239806535753144,10,200
"38",3,"freq","recoverable",0.67154798315298,10,200
"39",3,"fitree","observed",0.879719090012053,10,200
"40",3,"fitree","recoverable",0.836949695034723,10,200
"41",3,"Diffusion_subclone","observed",-0.00157537140275788,10,200
"42",3,"Diffusion_subclone","recoverable",0.677957628999004,10,200
"43",3,"Diffusion_mutation","observed",0.767594365286502,10,200
"44",3,"Diffusion_mutation","recoverable",0.734567898432474,10,200
"45",3,"scifil","observed",0.916213604589752,10,200
"46",3,"scifil","recoverable",0.774950547811402,10,200
"47",3,"fitclone","observed",0.269423718686508,10,200
"48",3,"fitclone","recoverable",0.705190471255472,10,200
"49",4,"freq","observed",0.289372251161367,10,200
